Group,Compound.and.Iso.name,iso.mz,z,RT
Histidine,Histidine_13C-0 15N-0,326.125315,1,1.5
Histidine,Histidine_13C-1 15N-0,327.128669,1,1.5
Histidine,Histidine_13C-2 15N-0,328.132023,1,1.5
Histidine,Histidine_13C-3 15N-0,329.135377,1,1.5
Histidine,Histidine_13C-0 15N-1,327.122351,1,1.5
Histidine,Histidine_13C-1 15N-1,328.125705,1,1.5
Histidine,Histidine_13C-2 15N-1,329.129059,1,1.5
Histidine,Histidine_13C-3 15N-1,330.132413,1,1.5
Arginine,Arginine_13C-0 15N-0,345.167514,1,2.1
Arginine,Arginine_13C-1 15N-0,346.170868,1,2.1
Arginine,Arginine_13C-2 15N-0,347.174222,1,2.1
Arginine,Arginine_13C-3 15N-0,348.177576,1,2.1
Arginine,Arginine_13C-0 15N-1,346.16454999999996,1,2.1
Arginine,Arginine_13C-1 15N-1,347.16790399999996,1,2.1
Arginine,Arginine_13C-2 15N-1,348.17125799999997,1,2.1
Arginine,Arginine_13C-3 15N-1,349.17461199999997,1,2.1
Serine,Serine_13C-0 15N-0,276.098432,1,2.3
Serine,Serine_13C-1 15N-0,277.101786,1,2.3
Serine,Serine_13C-2 15N-0,278.10514,1,2.3
Serine,Serine_13C-3 15N-0,279.108494,1,2.3
Serine,Serine_13C-0 15N-1,277.095468,1,2.3
Serine,Serine_13C-1 15N-1,278.098822,1,2.3
Serine,Serine_13C-2 15N-1,279.102176,1,2.3
Serine,Serine_13C-3 15N-1,280.10553,1,2.3
Glycine,Glycine_13C-0 15N-0,246.087867,1,2.6
Glycine,Glycine_13C-1 15N-0,247.091221,1,2.6
Glycine,Glycine_13C-2 15N-0,248.094575,1,2.6
Glycine,Glycine_13C-3 15N-0,249.097929,1,2.6
Glycine,Glycine_13C-0 15N-1,247.084903,1,2.6
Glycine,Glycine_13C-1 15N-1,248.088257,1,2.6
Glycine,Glycine_13C-2 15N-1,249.091611,1,2.6
Glycine,Glycine_13C-3 15N-1,250.094965,1,2.6
Aspartic Acid,Aspartic Acid_13C-0 15N-0,304.093347,1,2.7
Aspartic Acid,Aspartic Acid_13C-1 15N-0,305.096701,1,2.7
Aspartic Acid,Aspartic Acid_13C-2 15N-0,306.100055,1,2.7
Aspartic Acid,Aspartic Acid_13C-3 15N-0,307.103409,1,2.7
Aspartic Acid,Aspartic Acid_13C-0 15N-1,305.090383,1,2.7
Aspartic Acid,Aspartic Acid_13C-1 15N-1,306.093737,1,2.7
Aspartic Acid,Aspartic Acid_13C-2 15N-1,307.097091,1,2.7
Aspartic Acid,Aspartic Acid_13C-3 15N-1,308.100445,1,2.7
Glutamic Acid,Glutamic Acid_13C-0 15N-0,318.108997,1,2.9
Glutamic Acid,Glutamic Acid_13C-1 15N-0,319.112351,1,2.9
Glutamic Acid,Glutamic Acid_13C-2 15N-0,320.115705,1,2.9
Glutamic Acid,Glutamic Acid_13C-3 15N-0,321.119059,1,2.9
Glutamic Acid,Glutamic Acid_13C-0 15N-1,319.10603299999997,1,2.9
Glutamic Acid,Glutamic Acid_13C-1 15N-1,320.10938699999997,1,2.9
Glutamic Acid,Glutamic Acid_13C-2 15N-1,321.11274099999997,1,2.9
Glutamic Acid,Glutamic Acid_13C-3 15N-1,322.116095,1,2.9
Threonine,Threonine_13C-0 15N-0,290.114082,1,3.1
Threonine,Threonine_13C-1 15N-0,291.117436,1,3.1
Threonine,Threonine_13C-2 15N-0,292.12079,1,3.1
Threonine,Threonine_13C-3 15N-0,293.124144,1,3.1
Threonine,Threonine_13C-0 15N-1,291.111118,1,3.1
Threonine,Threonine_13C-1 15N-1,292.114472,1,3.1
Threonine,Threonine_13C-2 15N-1,293.117826,1,3.1
Threonine,Threonine_13C-3 15N-1,294.12118,1,3.1
Alanine,Alanine_13C-0 15N-0,260.103517,1,3.4
Alanine,Alanine_13C-1 15N-0,261.106871,1,3.4
Alanine,Alanine_13C-2 15N-0,262.110225,1,3.4
Alanine,Alanine_13C-3 15N-0,263.113579,1,3.4
Alanine,Alanine_13C-0 15N-1,261.100553,1,3.4
Alanine,Alanine_13C-1 15N-1,262.103907,1,3.4
Alanine,Alanine_13C-2 15N-1,263.107261,1,3.4
Alanine,Alanine_13C-3 15N-1,264.110615,1,3.4
Proline,Proline_13C-0 15N-0,286.119167,1,3.8
Proline,Proline_13C-1 15N-0,287.122521,1,3.8
Proline,Proline_13C-2 15N-0,288.125875,1,3.8
Proline,Proline_13C-3 15N-0,289.129229,1,3.8
Proline,Proline_13C-0 15N-1,287.116203,1,3.8
Proline,Proline_13C-1 15N-1,288.119557,1,3.8
Proline,Proline_13C-2 15N-1,289.122911,1,3.8
Proline,Proline_13C-3 15N-1,290.126265,1,3.8
Lysine,Lysine_13C-0 15N-0,244.1083,1,4.1
Lysine,Lysine_13C-1 15N-0,245.11165400000002,1,4.1
Lysine,Lysine_13C-2 15N-0,246.11500800000002,1,4.1
Lysine,Lysine_13C-3 15N-0,247.11836200000002,1,4.1
Lysine,Lysine_13C-0 15N-1,245.10533600000002,1,4.1
Lysine,Lysine_13C-1 15N-1,246.10869000000002,1,4.1
Lysine,Lysine_13C-2 15N-1,247.11204400000003,1,4.1
Lysine,Lysine_13C-3 15N-1,248.11539800000003,1,4.1
Tyrosine,Tyrosine_13C-0 15N-0,352.129732,1,4.4
Tyrosine,Tyrosine_13C-1 15N-0,353.133086,1,4.4
Tyrosine,Tyrosine_13C-2 15N-0,354.13644,1,4.4
Tyrosine,Tyrosine_13C-3 15N-0,355.139794,1,4.4
Tyrosine,Tyrosine_13C-0 15N-1,353.12676799999997,1,4.4
Tyrosine,Tyrosine_13C-1 15N-1,354.130122,1,4.4
Tyrosine,Tyrosine_13C-2 15N-1,355.133476,1,4.4
Tyrosine,Tyrosine_13C-3 15N-1,356.13683,1,4.4
Methionine,Methionine_13C-0 15N-0,320.106889,1,4.6
Methionine,Methionine_13C-1 15N-0,321.110243,1,4.6
Methionine,Methionine_13C-2 15N-0,322.113597,1,4.6
Methionine,Methionine_13C-3 15N-0,323.11695100000003,1,4.6
Methionine,Methionine_13C-0 15N-1,321.103925,1,4.6
Methionine,Methionine_13C-1 15N-1,322.107279,1,4.6
Methionine,Methionine_13C-2 15N-1,323.110633,1,4.6
Methionine,Methionine_13C-3 15N-1,324.113987,1,4.6
Valine,Valine_13C-0 15N-0,288.134817,1,4.7
Valine,Valine_13C-1 15N-0,289.138171,1,4.7
Valine,Valine_13C-2 15N-0,290.141525,1,4.7
Valine,Valine_13C-3 15N-0,291.144879,1,4.7
Valine,Valine_13C-0 15N-1,289.131853,1,4.7
Valine,Valine_13C-1 15N-1,290.135207,1,4.7
Valine,Valine_13C-2 15N-1,291.138561,1,4.7
Valine,Valine_13C-3 15N-1,292.141915,1,4.7
Isoleucine,Isoleucine_13C-0 15N-0,302.150467,1,5.2
Isoleucine,Isoleucine_13C-1 15N-0,303.153821,1,5.2
Isoleucine,Isoleucine_13C-2 15N-0,304.157175,1,5.2
Isoleucine,Isoleucine_13C-3 15N-0,305.160529,1,5.2
Isoleucine,Isoleucine_13C-0 15N-1,303.147503,1,5.2
Isoleucine,Isoleucine_13C-1 15N-1,304.150857,1,5.2
Isoleucine,Isoleucine_13C-2 15N-1,305.154211,1,5.2
Isoleucine,Isoleucine_13C-3 15N-1,306.157565,1,5.2
Leucine,Leucine_13C-0 15N-0,302.150467,1,5.3
Leucine,Leucine_13C-1 15N-0,303.153821,1,5.3
Leucine,Leucine_13C-2 15N-0,304.157175,1,5.3
Leucine,Leucine_13C-3 15N-0,305.160529,1,5.3
Leucine,Leucine_13C-0 15N-1,303.147503,1,5.3
Leucine,Leucine_13C-1 15N-1,304.150857,1,5.3
Leucine,Leucine_13C-2 15N-1,305.154211,1,5.3
Leucine,Leucine_13C-3 15N-1,306.157565,1,5.3
Phenylalaine,Phenylalaine_13C-0 15N-0,336.134817,1,5.5
Phenylalaine,Phenylalaine_13C-1 15N-0,337.138171,1,5.5
Phenylalaine,Phenylalaine_13C-2 15N-0,338.141525,1,5.5
Phenylalaine,Phenylalaine_13C-3 15N-0,339.144879,1,5.5
Phenylalaine,Phenylalaine_13C-0 15N-1,337.131853,1,5.5
Phenylalaine,Phenylalaine_13C-1 15N-1,338.135207,1,5.5
Phenylalaine,Phenylalaine_13C-2 15N-1,339.138561,1,5.5
Phenylalaine,Phenylalaine_13C-3 15N-1,340.141915,1,5.5
