"","slope","slope.error","intercept","intercept.error","Names","percent.intercept.error","percent.slope.error"
"1",1428716.65032258,98940.0947217087,395015687.225807,15643802.5616701,"L.E.Added_GBT",0.0396029906344644,0.0692510265764521
"2",1808291.96638655,63514.6281676625,444900368.941177,10290545.8927603,"L.L.Added_GBT",0.0231300008072614,0.0351241001720433
"3",1627868.04041068,107979.933274431,420383397.716632,17285223.1976472,"L.ALL.Added_GBT",0.0411177589113514,0.0663321169737994
"4",1394449.10769231,103736.39894188,616992910.76923,17534651.7871889,"H.E.Added_GBT",0.028419535267152,0.074392387911205
"5",1752864.21028571,59910.6562126961,717055315.2,9151503.90097187,"H.L.Added_GBT",0.0127626191550081,0.0341787206682318
"6",1564487.25946612,143325.591574934,675143074.168378,22943289.2314465,"H.ALL.Added_GBT",0.0339828550558818,0.0916118624218412
"7",3627059.23538461,36041.4667376663,46142793.5384615,6092119.79199899,"L.E.Added_GBT_IS",0.132027545903154,0.00993682881880049
"8",4503281.9112605,26134.5136013221,47123051.7647058,4234275.14822955,"L.L.Added_GBT_IS",0.0898557073377181,0.00580343716345461
"9",4067157.17704036,144492.255105017,49414167.8565023,23888609.3246504,"L.ALL.Added_GBT_IS",0.48343643859434,0.0355265972804529
"10",3287557.08307692,122654.878169888,787471756.307692,20732458.4296978,"H.E.Added_GBT_IS",0.0263278755887175,0.0373088208266461
"11",3983297.74789916,118718.914506038,876284239.058823,19234662.5227521,"H.L.Added_GBT_IS",0.0219502550261673,0.0298041778495349
"12",4067157.17704036,192134.303231946,836849772.7713,31765171.8040942,"H.ALL.Added_GBT_IS",0.0379580336132507,0.0472404421241867
