"","Compound.Name","Replicate.Name","Treatment","Experiment","replicate","correct.Prediction.nmoles.per.L.per.hr","SE.correct.rate","Time incubated"
"1","13C-15N Glycine Betaine","190730_Smp_GBT-K1-M0nM_A",0,"K1","A",0.00323065983580134,0.000290898055582115,0
"2","13C-15N Glycine Betaine","190730_Smp_GBT-K1-M2nM_A",2,"K1","A",0.034208646427722,0.00308024652414452,45
"3","13C-15N Glycine Betaine","190730_Smp_GBT-K1-M5nM_A",5,"K1","A",0.0223673316449793,0.00201401992620213,42
"4","13C-15N Glycine Betaine","190730_Smp_GBT-K1-M10nM_A",10,"K1","A",0.116603032511847,0.0154383531067346,40
"5","13C-15N Glycine Betaine","190730_Smp_GBT-K1-M50nM_A",50,"K1","A",0.14796399514937,0.00547687226617617,36
"6","13C-15N Glycine Betaine","190730_Smp_GBT-K1-M200nM_A",200,"K1","A",0.174746427726978,0.00797943766327673,37
"7","13C-15N Glycine Betaine","190730_Smp_GBT-K1-M2000nM_A",2000,"K1","A",0.339906348380331,0.0125815989941481,40
"8","13C-15N Glycine Betaine","190730_Smp_GBT-K1-M0nM_B",0,"K1","B",0.000760558647557846,6.84829239150961e-05,0
"9","13C-15N Glycine Betaine","190730_Smp_GBT-K1-M2nM_B",2,"K1","B",0.0296327082382787,0.00392339893256986,47
"10","13C-15N Glycine Betaine","190730_Smp_GBT-K1-M2nM_B4",2,"K1","B4",0.0313854853423737,0.00415546829875611,47
"11","13C-15N Glycine Betaine","190730_Smp_GBT-K1-M2nM_B1",2,"K1","B1",0.0376794170091122,0.00498879087543005,47
"12","13C-15N Glycine Betaine","190730_Smp_GBT-K1-M2nM_B7",2,"K1","B7",0.0289034819992296,0.00260255401077936,47
"13","13C-15N Glycine Betaine","190730_Smp_GBT-K1-M2nM_B11",2,"K1","B11",0.0287002804096811,0.00258425714565112,47
"14","13C-15N Glycine Betaine","190730_Smp_GBT-K1-M5nM_B",5,"K1","B",0.037316959640729,0.00336012813216273,45
"15","13C-15N Glycine Betaine","190730_Smp_GBT-K1-M10nM_B",10,"K1","B",0.0499711673390359,0.00661623038369415,45
"16","13C-15N Glycine Betaine","190730_Smp_GBT-K1-M50nM_B",50,"K1","B",0.126341792858318,0.00576913916635063,40
"17","13C-15N Glycine Betaine","190730_Smp_GBT-K1-M200nM_B",200,"K1","B",0.216366024731384,0.00987991130492522,42
"18","13C-15N Glycine Betaine","190730_Smp_GBT-K1-M2000nM_B",2000,"K1","B",0.439700810755237,0.0162754808925608,39
"19","13C-15N Glycine Betaine","190730_Smp_GBT-K1-M0nM_C",0,"K1","C",0.000518992824800925,4.67316310812433e-05,0
"20","13C-15N Glycine Betaine","190730_Smp_GBT-K1-M2nM_C",2,"K1","C",0.029270685978613,0.00263561813050527,43
"21","13C-15N Glycine Betaine","190730_Smp_GBT-K1-M5nM_C",5,"K1","C",0.0454424251540405,0.00409176879959795,50
"22","13C-15N Glycine Betaine","190730_Smp_GBT-K1-M10nM_C",10,"K1","C",0.0564636714442556,0.00747584414127907,41
"23","13C-15N Glycine Betaine","190730_Smp_GBT-K1-M50nM_C",50,"K1","C",0.207032131591545,0.00945369819468417,47
"24","13C-15N Glycine Betaine","190730_Smp_GBT-K1-M200nM_C",200,"K1","C",0.229732473852078,0.00850352420810425,42
"25","13C-15N Glycine Betaine","190730_Smp_GBT-K1-M2000nM_C",2000,"K1","C",0.319510897891387,0.0118266634638774,48
"26","13C-15N Glycine Betaine","190730_Smp_GBT-K2-M0nM_A",0,"K2","A",0.00230629401317538,0.000305355534726183,0
"27","13C-15N Glycine Betaine","190730_Smp_GBT-K2-M2nM_A",2,"K2","A",0.180179114149676,0.0238558871650162,42
"28","13C-15N Glycine Betaine","190730_Smp_GBT-K2-M5nM_A",5,"K2","A",0.178653722474773,0.0160865034178157,50
"29","13C-15N Glycine Betaine","190730_Smp_GBT-K2-M10nM_A",10,"K2","A",0.385375151357284,0.0510240388869009,40
"30","13C-15N Glycine Betaine","190730_Smp_GBT-K2-M50nM_A",50,"K2","A",0.31709000733116,0.0144792656425579,47
"31","13C-15N Glycine Betaine","190730_Smp_GBT-K2-M200nM_A",200,"K2","A",0.518927941373292,0.0236957814461888,41
"32","13C-15N Glycine Betaine","190730_Smp_GBT-K2-M2000nM_A",2000,"K2","A",0.717957493742843,0.0327840582535637,41
"33","13C-15N Glycine Betaine","190730_Smp_GBT-K2-M0nM_B",0,"K2","B",0.00217793626809713,0.000196107748191345,0
"34","13C-15N Glycine Betaine","190730_Smp_GBT-K2-M2nM_B",2,"K2","B",0.0756180151965399,0.0068088671372596,48
"35","13C-15N Glycine Betaine","190730_Smp_GBT-K2-M5nM_B",5,"K2","B",0.164796243701555,0.0218191803945545,43
"36","13C-15N Glycine Betaine","190730_Smp_GBT-K2-M10nM_B",10,"K2","B",0.141776005057094,0.0127659259394231,41
"37","13C-15N Glycine Betaine","190730_Smp_GBT-K2-M50nM_B",50,"K2","B",0.536782152097133,0.0198689368912439,41
"38","13C-15N Glycine Betaine","190730_Smp_GBT-K2-M200nM_B",200,"K2","B",0.471909897908094,0.0215487988053422,43
"39","13C-15N Glycine Betaine","190730_Smp_GBT-K2-M2000nM_B",2000,"K2","B",0.658511493471917,0.0300695784232,43
"40","13C-15N Glycine Betaine","190730_Smp_GBT-K2-M0nM_C",0,"K2","C",0.00175095567085937,0.00015766116705293,0
"41","13C-15N Glycine Betaine","190730_Smp_GBT-K2-M2nM_C",2,"K2","C",0.134990858420173,0.0121549715016804,44
"42","13C-15N Glycine Betaine","190730_Smp_GBT-K2-M5nM_C",5,"K2","C",0.247471778581201,0.0327655003423692,48
"43","13C-15N Glycine Betaine","190730_Smp_GBT-K2-M10nM_C",10,"K2","C",0.229922943912005,0.0304420178359669,42
"44","13C-15N Glycine Betaine","190730_Smp_GBT-K2-M50nM_C",50,"K2","C",0.496178021180791,0.0226569529426145,50
"45","13C-15N Glycine Betaine","190730_Smp_GBT-K2-M200nM_C",200,"K2","C",0.505742399262642,0.0187200035897568,40
"46","13C-15N Glycine Betaine","190730_Smp_GBT-K2-M2000nM_C",2000,"K2","C",0.514335022925211,0.0234860552336093,52
"47","13C-15N Glycine Betaine","190730_Smp_GBT-K2-M2000nM_C1",2000,"K2","C1",0.614436772360573,0.0280569965684009,52
"48","13C-15N Glycine Betaine","190730_Smp_GBT-K2-M2000nM_C11",2000,"K2","C11",0.492638458315956,0.0182349625453049,52
"49","13C-15N Glycine Betaine","190730_Smp_GBT-K2-M2000nM_C4",2000,"K2","C4",0.543960934015094,0.0248388617764066,52
"50","13C-15N Glycine Betaine","190730_Smp_GBT-K2-M2000nM_C7",2000,"K2","C7",0.511646071958525,0.0189385274355344,52
