coeff,value.name,Mean.Params,sd,n,SE.params
a,Estimate,122.15223202895935,75.30994424628112,923,NA
a,Std. Error,52.674249717335286,37.504090977346024,923,21.347174795108
b,Estimate,0.3761528218631993,0.06792203841712008,923,NA
b,Std. Error,0.03886334617644211,0.011970188321606325,923,0.013743215246314616
c,Estimate,9.086850081420156,7.289158711732001,923,NA
c,Std. Error,7.603113067186396,5.062402778055225,923,3.1666953073377164
model.summary,Iterations,8.744312026002167,4.3158460031019175,923,NA
model.summary,resid.sum.sqrs,0.07255176627139123,0.03167071649472846,923,NA
model.summary,sigma,0.056072009025946626,0.012405809321723167,923,NA
model.summary,total.cor,0.9041440964369788,0.038494921847379994,923,NA
